"Use Hong Kong alipay to pay","使用香港支付宝支付"
"Support payment by alipay","支持使用支付宝支付"
"tips...","tips..."
"Please use WeChat App to Pay,"支持微信支付"
"Loading...","加载中，请稍后"
"Continue","继续"
"QFPay Payment Gateway","QFPay Payment Gateway"
"Enable","是否启用"
"Your Merchant ID","商户ID"
"QFPay Appscrect","商户秘钥"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Placed order status","Placed order status"
"Status of new placed order after Magento checkout is complete, but PaymentGateway didn't recieve funds.","Status of new placed order after Magento checkout is complete, but PaymentGateway didn't recieve funds."
"Paid order status","Paid order status"
"Status of successfully paid order in Magento when PaymentGateway recieved funds and sent confirmation to Magento.","Status of successfully paid order in Magento when PaymentGateway recieved funds and sent confirmation to Magento."
"We received your order!","We received your order!"
"Failed to process payment, please retry.", "Failed to process payment, please retry"
